product,pathway,price_scenario,decision_year,tenor_years,years_evaluated,discount_rate,beyond_horizon,spot_cost_gap_gbp_per_tonne,myopic_choice,committed_choice,decision_reverses,pv_halifax_hamburg_gbp_per_tonne_annual_volume,pv_ningbo_felixstowe_gbp_per_tonne_annual_volume,breakeven_switching_cost_gbp_per_tonne_annual_volume,lock_in_regret_pct,uk_price_variant,uk_price_variant_label
ammonia,cbam_default,high,2028,10,3,0.08,truncate,-16.17,ningbo_felixstowe,ningbo_felixstowe,False,274.57,174.4,0.0,0.0,frozen,Frozen at the 2026 determination (baseline)
ammonia,cbam_default,high,2029,10,2,0.08,truncate,-33.14,ningbo_felixstowe,ningbo_felixstowe,False,228.63,137.92,0.0,0.0,frozen,Frozen at the 2026 determination (baseline)
ammonia,cbam_default,high,2030,10,1,0.08,truncate,-62.18,ningbo_felixstowe,ningbo_felixstowe,False,148.48,86.3,0.0,0.0,frozen,Frozen at the 2026 determination (baseline)
hydrogen,cbam_default,high,2026,10,5,0.08,truncate,-527.43,ningbo_felixstowe,ningbo_felixstowe,False,3912.37,1147.16,0.0,0.0,frozen,Frozen at the 2026 determination (baseline)
hydrogen,cbam_default,high,2027,10,4,0.08,truncate,-462.46,ningbo_felixstowe,ningbo_felixstowe,False,3655.08,1238.28,0.0,0.0,frozen,Frozen at the 2026 determination (baseline)
hydrogen,cbam_default,high,2028,10,3,0.08,truncate,-654.65,ningbo_felixstowe,ningbo_felixstowe,False,3176.95,1066.26,0.0,0.0,frozen,Frozen at the 2026 determination (baseline)
hydrogen,cbam_default,high,2029,10,2,0.08,truncate,-766.57,ningbo_felixstowe,ningbo_felixstowe,False,2415.67,843.14,0.0,0.0,frozen,Frozen at the 2026 determination (baseline)
hydrogen,cbam_default,high,2030,10,1,0.08,truncate,-870.43,ningbo_felixstowe,ningbo_felixstowe,False,1397.95,527.52,0.0,0.0,frozen,Frozen at the 2026 determination (baseline)
ammonia,cbam_default,high,2026,10,10,0.08,hold_final,-39.46,ningbo_felixstowe,ningbo_felixstowe,False,755.91,440.85,0.0,0.0,frozen,Frozen at the 2026 determination (baseline)
ammonia,cbam_default,high,2027,10,10,0.08,hold_final,-7.82,ningbo_felixstowe,ningbo_felixstowe,False,847.98,519.23,0.0,0.0,frozen,Frozen at the 2026 determination (baseline)
ammonia,cbam_default,high,2028,10,10,0.08,hold_final,-16.17,ningbo_felixstowe,ningbo_felixstowe,False,937.32,559.61,0.0,0.0,frozen,Frozen at the 2026 determination (baseline)
ammonia,cbam_default,high,2029,10,10,0.08,hold_final,-33.14,ningbo_felixstowe,ningbo_felixstowe,False,1018.69,597.12,0.0,0.0,frozen,Frozen at the 2026 determination (baseline)
ammonia,cbam_default,high,2030,10,10,0.08,hold_final,-62.18,ningbo_felixstowe,ningbo_felixstowe,False,1076.02,625.41,0.0,0.0,frozen,Frozen at the 2026 determination (baseline)
hydrogen,cbam_default,high,2026,10,10,0.08,hold_final,-527.43,ningbo_felixstowe,ningbo_felixstowe,False,8015.02,2695.31,0.0,0.0,frozen,Frozen at the 2026 determination (baseline)
hydrogen,cbam_default,high,2027,10,10,0.08,hold_final,-462.46,ningbo_felixstowe,ningbo_felixstowe,False,8785.26,3174.17,0.0,0.0,frozen,Frozen at the 2026 determination (baseline)
hydrogen,cbam_default,high,2028,10,10,0.08,hold_final,-654.65,ningbo_felixstowe,ningbo_felixstowe,False,9416.87,3420.91,0.0,0.0,frozen,Frozen at the 2026 determination (baseline)
hydrogen,cbam_default,high,2029,10,10,0.08,hold_final,-766.57,ningbo_felixstowe,ningbo_felixstowe,False,9854.11,3650.06,0.0,0.0,frozen,Frozen at the 2026 determination (baseline)
hydrogen,cbam_default,high,2030,10,10,0.08,hold_final,-870.43,ningbo_felixstowe,ningbo_felixstowe,False,10130.79,3822.88,0.0,0.0,frozen,Frozen at the 2026 determination (baseline)
ammonia,cbam_default,low,2026,10,5,0.08,truncate,-30.51,ningbo_felixstowe,ningbo_felixstowe,False,194.13,192.11,0.0,0.0,linked,EU-UK ETS linkage: converges to EU price (NOT law)
ammonia,cbam_default,low,2027,10,4,0.08,truncate,-0.27,ningbo_felixstowe,halifax_hamburg,True,176.66,207.44,30.78,17.42,linked,EU-UK ETS linkage: converges to EU price (NOT law)
ammonia,cbam_default,low,2028,10,3,0.08,truncate,5.56,halifax_hamburg,halifax_hamburg,False,154.52,188.05,0.0,0.0,linked,EU-UK ETS linkage: converges to EU price (NOT law)
ammonia,cbam_default,low,2029,10,2,0.08,truncate,11.91,halifax_hamburg,halifax_hamburg,False,124.62,154.83,0.0,0.0,linked,EU-UK ETS linkage: converges to EU price (NOT law)
ammonia,cbam_default,low,2030,10,1,0.08,truncate,19.76,halifax_hamburg,halifax_hamburg,False,78.41,98.17,0.0,0.0,linked,EU-UK ETS linkage: converges to EU price (NOT law)
hydrogen,cbam_default,low,2026,10,5,0.08,truncate,-407.6,ningbo_felixstowe,ningbo_felixstowe,False,2413.63,1174.73,0.0,0.0,linked,EU-UK ETS linkage: converges to EU price (NOT law)
hydrogen,cbam_default,low,2027,10,4,0.08,truncate,-286.39,ningbo_felixstowe,ningbo_felixstowe,False,2166.07,1268.27,0.0,0.0,linked,EU-UK ETS linkage: converges to EU price (NOT law)
hydrogen,cbam_default,low,2028,10,3,0.08,truncate,-311.42,ningbo_felixstowe,ningbo_felixstowe,False,1809.99,1149.67,0.0,0.0,linked,EU-UK ETS linkage: converges to EU price (NOT law)
hydrogen,cbam_default,low,2029,10,2,0.08,truncate,-248.82,ningbo_felixstowe,ningbo_felixstowe,False,1323.34,946.52,0.0,0.0,linked,EU-UK ETS linkage: converges to EU price (NOT law)
hydrogen,cbam_default,low,2030,10,1,0.08,truncate,-138.24,ningbo_felixstowe,ningbo_felixstowe,False,738.33,600.09,0.0,0.0,linked,EU-UK ETS linkage: converges to EU price (NOT law)
ammonia,cbam_default,low,2026,10,10,0.08,hold_final,-30.51,ningbo_felixstowe,halifax_hamburg,True,424.24,480.22,55.98,13.19,linked,EU-UK ETS linkage: converges to EU price (NOT law)
ammonia,cbam_default,low,2027,10,10,0.08,hold_final,-0.27,ningbo_felixstowe,halifax_hamburg,True,464.41,567.7,103.29,22.24,linked,EU-UK ETS linkage: converges to EU price (NOT law)
ammonia,cbam_default,low,2028,10,10,0.08,hold_final,5.56,halifax_hamburg,halifax_hamburg,False,504.51,626.24,0.0,0.0,linked,EU-UK ETS linkage: converges to EU price (NOT law)
ammonia,cbam_default,low,2029,10,10,0.08,hold_final,11.91,halifax_hamburg,halifax_hamburg,False,541.84,677.19,0.0,0.0,linked,EU-UK ETS linkage: converges to EU price (NOT law)
ammonia,cbam_default,low,2030,10,10,0.08,hold_final,19.76,halifax_hamburg,halifax_hamburg,False,568.23,711.43,0.0,0.0,linked,EU-UK ETS linkage: converges to EU price (NOT law)
hydrogen,cbam_default,low,2026,10,10,0.08,hold_final,-407.6,ningbo_felixstowe,ningbo_felixstowe,False,4580.45,2935.85,0.0,0.0,linked,EU-UK ETS linkage: converges to EU price (NOT law)
hydrogen,cbam_default,low,2027,10,10,0.08,hold_final,-286.39,ningbo_felixstowe,ningbo_felixstowe,False,4875.59,3470.47,0.0,0.0,linked,EU-UK ETS linkage: converges to EU price (NOT law)
hydrogen,cbam_default,low,2028,10,10,0.08,hold_final,-311.42,ningbo_felixstowe,ningbo_felixstowe,False,5105.62,3828.24,0.0,0.0,linked,EU-UK ETS linkage: converges to EU price (NOT law)
hydrogen,cbam_default,low,2029,10,10,0.08,hold_final,-248.82,ningbo_felixstowe,ningbo_felixstowe,False,5251.96,4139.57,0.0,0.0,linked,EU-UK ETS linkage: converges to EU price (NOT law)
hydrogen,cbam_default,low,2030,10,10,0.08,hold_final,-138.24,ningbo_felixstowe,ningbo_felixstowe,False,5350.59,4348.78,0.0,0.0,linked,EU-UK ETS linkage: converges to EU price (NOT law)
ammonia,cbam_default,medium,2026,10,5,0.08,truncate,-34.98,ningbo_felixstowe,halifax_hamburg,True,276.34,284.63,8.29,3.0,linked,EU-UK ETS linkage: converges to EU price (NOT law)
ammonia,cbam_default,medium,2027,10,4,0.08,truncate,2.08,halifax_hamburg,halifax_hamburg,False,260.61,307.34,0.0,0.0,linked,EU-UK ETS linkage: converges to EU price (NOT law)
ammonia,cbam_default,medium,2028,10,3,0.08,truncate,9.1,halifax_hamburg,halifax_hamburg,False,235.32,283.53,0.0,0.0,linked,EU-UK ETS linkage: converges to EU price (NOT law)
ammonia,cbam_default,medium,2029,10,2,0.08,truncate,16.23,halifax_hamburg,halifax_hamburg,False,195.38,237.63,0.0,0.0,linked,EU-UK ETS linkage: converges to EU price (NOT law)
ammonia,cbam_default,medium,2030,10,1,0.08,truncate,28.1,halifax_hamburg,halifax_hamburg,False,126.52,154.62,0.0,0.0,linked,EU-UK ETS linkage: converges to EU price (NOT law)
hydrogen,cbam_default,medium,2026,10,5,0.08,truncate,-467.53,ningbo_felixstowe,ningbo_felixstowe,False,3382.47,1740.31,0.0,0.0,linked,EU-UK ETS linkage: converges to EU price (NOT law)
hydrogen,cbam_default,medium,2027,10,4,0.08,truncate,-349.76,ningbo_felixstowe,ningbo_felixstowe,False,3147.59,1879.0,0.0,0.0,linked,EU-UK ETS linkage: converges to EU price (NOT law)
hydrogen,cbam_default,medium,2028,10,3,0.08,truncate,-425.18,ningbo_felixstowe,ningbo_felixstowe,False,2725.72,1733.38,0.0,0.0,linked,EU-UK ETS linkage: converges to EU price (NOT law)
