corridor,product,pathway,year,price_scenario,route_scenario,speed_scenario,vessel_set,vessel_class,uk_ets_variant,uk_price_variant,bunker_fuel,currency,cargo_tonnes,embedded_emissions_tco2e_per_tonne,cbam_cost_per_tonne,eu_ets_cost_per_tonne,fueleu_cost_per_tonne,uk_ets_cost_per_tonne,maritime_cost_per_tonne,total_compliance_cost_per_tonne
halifax_hamburg,ammonia,green_electrolysis,2027,high,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,56142,0.62,0.0,1.018508870364433,0.2356303250552357,0.0,1.2541391954196686,1.2541391954196686
halifax_hamburg,ammonia,cbam_default,2027,high,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,56142,1.98,23.186254,1.018508870364433,0.2356303250552357,0.0,1.2541391954196686,24.44039319541967
halifax_hamburg,hydrogen,green_electrolysis,2028,low,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,5828,1.23,0.0,7.058596431022649,2.2698623385811674,0.0,9.328458769603817,9.328458769603817
halifax_hamburg,hydrogen,grey_smr,2028,low,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,5828,10.07,69.227639,7.058596431022649,2.2698623385811674,0.0,9.328458769603817,78.55609776960381
halifax_hamburg,hydrogen,blue_smr_ccs,2028,low,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,5828,2.02,0.0,7.058596431022649,2.2698623385811674,0.0,9.328458769603817,9.328458769603817
halifax_hamburg,hydrogen,cbam_default,2028,low,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,5828,10.82,119.617199,7.058596431022649,2.2698623385811674,0.0,9.328458769603817,128.94565776960383
halifax_hamburg,ammonia,grey_smr,2028,low,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,56142,2.18,10.216622,0.7327401945067864,0.2356303250552357,0.0,0.9683705195620221,11.184992519562021
halifax_hamburg,ammonia,green_electrolysis,2028,low,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,56142,0.62,0.0,0.7327401945067864,0.2356303250552357,0.0,0.9683705195620221,0.9683705195620221
halifax_hamburg,ammonia,cbam_default,2028,low,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,56142,1.98,7.944299999999998,0.7327401945067864,0.2356303250552357,0.0,0.9683705195620221,8.91267051956202
halifax_hamburg,hydrogen,green_electrolysis,2028,medium,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,5828,1.23,0.0,9.693805765271104,2.2698623385811674,0.0,11.963668103852271,11.963668103852271
