corridor,vessel_set,vessel_class,route_scenario,speed_scenario,year,price_scenario,uk_ets_variant,uk_price_variant,bunker_fuel,voyage_co2_t,currency,cost_in_own_currency,effective_cost_per_tonne_co2,effective_cost_per_tonne_co2_gbp
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,upper,2027,medium,n/a,n/a,green_rfnbo,950.0,EUR,44139.6,46.462736842105265,39.64092931609796
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,upper,2027,high,n/a,n/a,conventional,950.0,EUR,61925.17797356823,65.18439786691393,55.61381623161525
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,upper,2027,high,n/a,n/a,green_rfnbo,950.0,EUR,50290.2,52.93705263157894,45.16466536834112
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,upper,2028,low,n/a,n/a,conventional,950.0,EUR,47814.97797356823,50.33155576165077,42.94171587646918
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,upper,2028,low,n/a,n/a,green_rfnbo,950.0,EUR,36180.0,38.084210526315786,32.49256501319505
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,upper,2028,medium,n/a,n/a,conventional,950.0,EUR,61322.17797356823,64.54966102480866,55.07227348139533
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,upper,2028,medium,n/a,n/a,green_rfnbo,950.0,EUR,49687.2,52.30231578947368,44.6231226181212
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,upper,2028,high,n/a,n/a,conventional,950.0,EUR,68799.37797356822,72.42039786691392,61.7874035841223
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,upper,2028,high,n/a,n/a,green_rfnbo,950.0,EUR,57164.399999999994,60.17305263157894,51.338252720848175
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,upper,2029,low,n/a,n/a,conventional,950.0,EUR,49020.97797356823,51.60102944586129,44.02480137690902
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,upper,2029,low,n/a,n/a,green_rfnbo,950.0,EUR,37386.0,39.35368421052632,33.57565051363489
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,upper,2029,medium,n/a,n/a,conventional,950.0,EUR,66869.77797356823,70.38923997217708,60.054466783418576
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,upper,2029,medium,n/a,n/a,green_rfnbo,950.0,EUR,55234.799999999996,58.1418947368421,49.605315920144434
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,upper,2029,high,n/a,n/a,conventional,950.0,EUR,75673.57797356823,79.65639786691392,67.96099093662937
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,upper,2029,high,n/a,n/a,green_rfnbo,950.0,EUR,64038.6,67.40905263157894,57.51184007335524
