corridor,product,pathway,year,parameter,mean_abs_pct_change,rank
ningbo_felixstowe,hydrogen,blue_ccs,2030,main_engine_power_kw,0.09860283049536255,4
ningbo_felixstowe,hydrogen,blue_ccs,2030,sfoc_g_per_kwh,0.09860283049536255,4
ningbo_felixstowe,hydrogen,blue_ccs,2030,port_days,0.09790176478292562,5
ningbo_felixstowe,hydrogen,blue_ccs,2030,vlsfo_carbon_factor,0.09654087251762193,6
ningbo_felixstowe,hydrogen,blue_ccs,2030,fueleu_actual_intensity_gco2e_mj,0.0,7
ningbo_felixstowe,hydrogen,blue_ccs,2030,origin_carbon_price_eur_per_tco2e,0.0,7
ningbo_felixstowe,hydrogen,blue_ccs,2030,service_speed_knots,0.0,7
ningbo_felixstowe,hydrogen,cbam_default,2030,carbon_price,19.999999999999996,1
ningbo_felixstowe,hydrogen,cbam_default,2030,embedded_emissions_tco2e_per_tonne,19.976806964371676,2
ningbo_felixstowe,hydrogen,cbam_default,2030,cargo_tonnes,0.024159412112835982,3
ningbo_felixstowe,hydrogen,cbam_default,2030,engine_load_fraction,0.023331600550037135,4
ningbo_felixstowe,hydrogen,cbam_default,2030,main_engine_power_kw,0.023331600550037135,4
ningbo_felixstowe,hydrogen,cbam_default,2030,sfoc_g_per_kwh,0.023331600550037135,4
ningbo_felixstowe,hydrogen,cbam_default,2030,port_days,0.023165712967700883,5
ningbo_felixstowe,hydrogen,cbam_default,2030,vlsfo_carbon_factor,0.022843695896120064,6
ningbo_felixstowe,hydrogen,cbam_default,2030,fueleu_actual_intensity_gco2e_mj,0.0,7
ningbo_felixstowe,hydrogen,cbam_default,2030,origin_carbon_price_eur_per_tco2e,0.0,7
ningbo_felixstowe,hydrogen,cbam_default,2030,service_speed_knots,0.0,7
ningbo_felixstowe,hydrogen,coal_gasification,2030,carbon_price,20.0,1
ningbo_felixstowe,hydrogen,coal_gasification,2030,embedded_emissions_tco2e_per_tonne,19.96925689630879,2
ningbo_felixstowe,hydrogen,coal_gasification,2030,cargo_tonnes,0.03202406634501581,3
ningbo_felixstowe,hydrogen,coal_gasification,2030,engine_load_fraction,0.03092677588594224,4
