corridor,vessel_set,route_scenario,speed_scenario,year,price_scenario,uk_ets_variant,distance_nm,voyage_days,voyage_co2_t,port_co2_t,voyage_co2e_t,port_co2e_t,uk_price_variant,bunker_fuel,eu_ets_cost_eur,fueleu_cost_eur,uk_ets_cost_gbp,total_eur,total_gbp
halifax_hamburg,VLGC/VLAC,suez,base,2030,low,n/a,2962,8.3,1080.2,58.51,1097.0,59.42,n/a,green_rfnbo,43880.0,0.0,0.0,43880.0,0.0
halifax_hamburg,VLGC/VLAC,suez,base,2030,medium,n/a,2962,8.3,1080.2,58.51,1097.0,59.42,n/a,conventional,69111.0,46297.02766519824,0.0,115408.02766519824,0.0
halifax_hamburg,VLGC/VLAC,suez,base,2030,medium,n/a,2962,8.3,1080.2,58.51,1097.0,59.42,n/a,green_rfnbo,69111.0,0.0,0.0,69111.0,0.0
halifax_hamburg,VLGC/VLAC,suez,base,2030,high,n/a,2962,8.3,1080.2,58.51,1097.0,59.42,n/a,conventional,80629.5,46297.02766519824,0.0,126926.52766519824,0.0
halifax_hamburg,VLGC/VLAC,suez,base,2030,high,n/a,2962,8.3,1080.2,58.51,1097.0,59.42,n/a,green_rfnbo,80629.5,0.0,0.0,80629.5,0.0
halifax_hamburg,VLGC/VLAC,suez,upper,2026,low,n/a,2962,7.3,950.0,58.51,964.8,59.42,n/a,conventional,33768.0,11634.977973568231,0.0,45402.97797356823,0.0
halifax_hamburg,VLGC/VLAC,suez,upper,2026,low,n/a,2962,7.3,950.0,58.51,964.8,59.42,n/a,green_rfnbo,33768.0,0.0,0.0,33768.0,0.0
halifax_hamburg,VLGC/VLAC,suez,upper,2026,medium,n/a,2962,7.3,950.0,58.51,964.8,59.42,n/a,conventional,38592.0,11634.977973568231,0.0,50226.97797356823,0.0
halifax_hamburg,VLGC/VLAC,suez,upper,2026,medium,n/a,2962,7.3,950.0,58.51,964.8,59.42,n/a,green_rfnbo,38592.0,0.0,0.0,38592.0,0.0
halifax_hamburg,VLGC/VLAC,suez,upper,2026,high,n/a,2962,7.3,950.0,58.51,964.8,59.42,n/a,conventional,43416.0,11634.977973568231,0.0,55050.97797356823,0.0
halifax_hamburg,VLGC/VLAC,suez,upper,2026,high,n/a,2962,7.3,950.0,58.51,964.8,59.42,n/a,green_rfnbo,43416.0,0.0,0.0,43416.0,0.0
halifax_hamburg,VLGC/VLAC,suez,upper,2027,low,n/a,2962,7.3,950.0,58.51,964.8,59.42,n/a,conventional,34974.0,11634.977973568231,0.0,46608.97797356823,0.0
halifax_hamburg,VLGC/VLAC,suez,upper,2027,low,n/a,2962,7.3,950.0,58.51,964.8,59.42,n/a,green_rfnbo,34974.0,0.0,0.0,34974.0,0.0
halifax_hamburg,VLGC/VLAC,suez,upper,2027,medium,n/a,2962,7.3,950.0,58.51,964.8,59.42,n/a,conventional,44139.6,11634.977973568231,0.0,55774.57797356823,0.0
halifax_hamburg,VLGC/VLAC,suez,upper,2027,medium,n/a,2962,7.3,950.0,58.51,964.8,59.42,n/a,green_rfnbo,44139.6,0.0,0.0,44139.6,0.0
halifax_hamburg,VLGC/VLAC,suez,upper,2027,high,n/a,2962,7.3,950.0,58.51,964.8,59.42,n/a,conventional,50290.2,11634.977973568231,0.0,61925.17797356823,0.0
halifax_hamburg,VLGC/VLAC,suez,upper,2027,high,n/a,2962,7.3,950.0,58.51,964.8,59.42,n/a,green_rfnbo,50290.2,0.0,0.0,50290.2,0.0
halifax_hamburg,VLGC/VLAC,suez,upper,2028,low,n/a,2962,7.3,950.0,58.51,964.8,59.42,n/a,conventional,36180.0,11634.977973568231,0.0,47814.97797356823,0.0
halifax_hamburg,VLGC/VLAC,suez,upper,2028,low,n/a,2962,7.3,950.0,58.51,964.8,59.42,n/a,green_rfnbo,36180.0,0.0,0.0,36180.0,0.0
halifax_hamburg,VLGC/VLAC,suez,upper,2028,medium,n/a,2962,7.3,950.0,58.51,964.8,59.42,n/a,conventional,49687.2,11634.977973568231,0.0,61322.17797356823,0.0
halifax_hamburg,VLGC/VLAC,suez,upper,2028,medium,n/a,2962,7.3,950.0,58.51,964.8,59.42,n/a,green_rfnbo,49687.2,0.0,0.0,49687.2,0.0
halifax_hamburg,VLGC/VLAC,suez,upper,2028,high,n/a,2962,7.3,950.0,58.51,964.8,59.42,n/a,conventional,57164.399999999994,11634.977973568231,0.0,68799.37797356822,0.0
halifax_hamburg,VLGC/VLAC,suez,upper,2028,high,n/a,2962,7.3,950.0,58.51,964.8,59.42,n/a,green_rfnbo,57164.399999999994,0.0,0.0,57164.399999999994,0.0
halifax_hamburg,VLGC/VLAC,suez,upper,2029,low,n/a,2962,7.3,950.0,58.51,964.8,59.42,n/a,conventional,37386.0,11634.977973568231,0.0,49020.97797356823,0.0
halifax_hamburg,VLGC/VLAC,suez,upper,2029,low,n/a,2962,7.3,950.0,58.51,964.8,59.42,n/a,green_rfnbo,37386.0,0.0,0.0,37386.0,0.0
halifax_hamburg,VLGC/VLAC,suez,upper,2029,medium,n/a,2962,7.3,950.0,58.51,964.8,59.42,n/a,conventional,55234.799999999996,11634.977973568231,0.0,66869.77797356823,0.0
halifax_hamburg,VLGC/VLAC,suez,upper,2029,medium,n/a,2962,7.3,950.0,58.51,964.8,59.42,n/a,green_rfnbo,55234.799999999996,0.0,0.0,55234.799999999996,0.0
halifax_hamburg,VLGC/VLAC,suez,upper,2029,high,n/a,2962,7.3,950.0,58.51,964.8,59.42,n/a,conventional,64038.6,11634.977973568231,0.0,75673.57797356823,0.0
halifax_hamburg,VLGC/VLAC,suez,upper,2029,high,n/a,2962,7.3,950.0,58.51,964.8,59.42,n/a,green_rfnbo,64038.6,0.0,0.0,64038.6,0.0
halifax_hamburg,VLGC/VLAC,suez,upper,2030,low,n/a,2962,7.3,950.0,58.51,964.8,59.42,n/a,conventional,38592.0,40719.23524229075,0.0,79311.23524229074,0.0
